nruf2,ppgf2,dcfsn,pyear,total,nr_score,pol_score,le_score,pop_score,nr_remaining_pct,max_pol,le_late,pop_2100_B,crash_ratio
0.1,0.1,2.5,1995,0.6986509324351243,1.0,0.39102547129719223,1.0,0.20895527363977812,41.63081996793751,5.653847172216847,75.68164465893481,1.436297328985104,0.5819276257721014
0.2,0.25,2.0,1995,0.6986152592910188,1.0,0.4667645134002122,1.0,0.05723936847303339,41.31983079348235,5.199412919598727,77.27575858194622,0.6213961573076036,0.3684565332430838
0.25,0.25,2.0,1995,0.6985708846431063,1.0,0.4667655218540059,1.0,0.056941520579364295,37.527728495985954,5.199406868875965,77.29927107357952,0.6198920309751307,0.36742863424000827
0.1,0.15,2.5,1995,0.69692643587964,1.0,0.38535367346622307,1.0,0.20880222559848677,41.63400697475402,5.687877959202662,75.65104823792493,1.4357681555704072,0.5817157172302183
0.1,0.25,4.0,2015,0.696531854625404,0.99009101321544,0.0,1.0,1.0,29.7027303964632,8.516556245147187,63.102289201303506,9.96771318144645,1.0
0.1,0.15,4.0,2015,0.6945225896835528,0.9843502562387224,0.0,1.0,1.0,29.530507687161673,8.405612524920612,63.81482440508522,10.087571427588744,1.0
0.1,0.1,4.0,2015,0.6936420078664015,0.9818343081897185,0.0,1.0,1.0,29.455029245691556,8.360212984831977,64.1058766450859,10.134723032178053,1.0
0.1,0.25,2.5,1995,0.6926188170862047,1.0,0.37116011252289216,1.0,0.2084718888622474,41.64075941495999,5.773039324862647,75.58411361936793,1.434624370296552,0.5812584622946397
0.1,0.5,2.0,1995,0.6920593049728612,1.0,0.44482283972506187,1.0,0.057416353702284005,49.17452440698315,5.331062961649629,77.18642101559062,0.6222667136634783,0.369078740299355
0.2,0.5,2.0,1995,0.6920227157788855,1.0,0.4448331852541113,1.0,0.05715173468434715,41.31749396436789,5.331000888475332,77.20401661838332,0.6209011289859662,0.36818573532108306
0.25,0.5,2.0,1995,0.6919796451736645,1.0,0.44483836202836313,1.0,0.0568542437677044,37.52196062441499,5.330969827829821,77.22584185334588,0.6194002102833663,0.3671567611621858
0.5,0.1,3.0,1975,0.6868120518935599,0.42111762914892975,0.9888359672154768,1.0,0.2851339435119428,12.633528874467892,2.066984196707139,62.146733839844096,2.0308764568419573,0.5615978117257419
0.5,0.15,3.0,1975,0.686281840953098,0.42247760799318107,0.9854281222900882,1.0,0.28524160978972046,12.674328239795432,2.0874312662594705,62.13858096923832,2.0312130074657553,0.5617167844855472
